x		(Keyboard)	Set cursor pad to execute
Sp,X		(Keyboard)	Set cursor pad to transmit & execute
Sp,\		(Keyboard)	Disable cursor pad
Sp,x ckey,clev,cm	(Keyboard)	Set cursor pad keys--general
general
	Sp,? test	Self Test
	,		Reset
	o mess,char	Change message character
	Sp,y n		Attribute list selection
	Sp,Y n		Copy attribute list
	Sp,z n		Window selection
APL/ASCII
	0		APL mode
	)		ASCII mode
status
	+		User status
	Sp,d		Scroll status lines forward
	Sp,D		Scroll status lines backward
	/ sline,dev	Display/transmit status
	Sp,.		Status line display off
	Sp,* del,msg,del	Set alert line message
	Sp,G		Alert line displayable
	Sp,g		Alert line not displayable
	Sp,; n		Set background status line
mode
	u		User mode
	U		Programmer mode
	f		Text mode
	F		Form mode
	s		Scroll mode
	S		Page mode
	7		Character mode
	&		Block mode
	5		Upper/lower case mode
	%		Caps lock mode
	8		Full duplex mode
	*		Half duplex mode
	9		Remode mode
	(		Local mode
	t		Transparent mode off
	T		Transparent mode on
	Sp,w		Auto wraparound off
	Sp,W		Auto wraparound on
	l		Auto linefeed off
	L		Auto linefeed on
	b		Auto tab off
	B		Auto tab on
cursor
	Sp,L		Reverse line feed
	'		Back tab
	]		Tab set
	_		Tab clear
	Sp,_		Clear all tabs
	;		Cursor up
	<		Cursor down
	=		Cursor right
	>		Cursor left
	?		Home cursor
	a line,col	Write address (go to address)
	A		Read address
	p		End of text
	w		Set cursor to underline
	W		Set cursor to block
editing
	Sp,m		Form feed--clear screen
	Sp,M		Form feed--top of page
	^P		Insert mode on
	Sp,0		Insert mode on (alternate)
	^@		Insert mode off
	Sp,Sp		Insert mode off (alternate)
	^Q		Delete character in line/field
	Sp,1		Delete character in line/field (alternate)
	^A		Delete character in window
	Sp,!		Delete character in window (alternate)
	^R		Insert line
	Sp,2		Insert line (alternate)
	^B		Delete line
	Sp,"		Delete line (alternate)
	^S		Clear to end of line/field
	Sp,3		Clear to end of line/field (alternate)
	^C		Clear to end of window
	Sp,#		Clear to end of window (alternate)
	^U		Clear all to EOL
	Sp,5		Clear all to EOL (alternate)
	^E		Clear all to EOW
	Sp,%		Clear all to EOW (alternate)
	^G intype	Set insert type
	Sp,' intype	Set insert type (alternate)
	^H m,w,char	Define clear characteristics
	Sp,( m,w,char	Define clear characteristics (alternate)
	Sp,+ margin	Set margin bell offset
display
	C		Blink on
	c		Blink off
	D		Reverse video on
	d		Reverse video off
	E		Half bright on
	e		Half bright off
	G		Underline on
	g		Underline off
	H		Nondisplay on
	h		Nondisplay off
	I		Protection on
	i		Protection off
	j cset		Select character set
	k		Screen reverse video
	K		Screen normal video
	M		Half bright protected fields
	m		Normal protected fields
	N w		Set attribute word
	n		Read attribute word
	J m,w,lns,cls	Set attribute of block
	r char,len	Repeat character horizontal
	R char,len	Repeat character vertical
	Sp,r		Replace character & attribute
	Sp,R		Replace character only
	Sp,A		Character & attribute display
	Sp,`		Set underline to change attribute
	Sp,@		Set underline to normal character
devices
	Q dev,msg,EOF	Function route
	Y network	Set output network
	y		Read output network
	}		Attach printer
	~		Detach printer
	{		Print window
	|		Print line
	Z		Formfeed prior to print on
	z		Formfeed prior to print off
	@		Attach tape
	^		Detach tape
	`		Message to tape
transmission
	O baud		Set buad rate
	P parity	Set parity
	Sp,< sbits	Set stop bits
	Sp,V		CTS/RTS protocol on
	Sp,v		CTS/RTS protocol off
	Sp,F		Buffer overflow control on
	Sp,f		Buffer overflow control off
	Sp,P		Parity check on
	Sp,p		Parity check off
	^T		Transmit line/field
	Sp,4		Transmit line/field (alternate)
	^D		Transmit window
	Sp,$		Transmit window (alternate)
	^V		Transmit all line/field
	Sp,6		Transmit all line/field (alternate)
	^F		Transmit all window
	Sp,&		Transmit all window (alternate)
	Sp,-		Create screen
	Sp,T		Trailing blank suppress on
	Sp,t		Trailing blank suppress off
	Sp,U		Underline transmit on
	Sp,u		Underline transmit off
	1		Start of print/transmit
	Sp,, delay	Set transmission delay
	rub		Initate break
screen
	!		Display width 80 columns
	"		Display width 132 columns
	v line,col,lns,cls	Define window
	Sp,^		Reset all windows
	Sp,Z		Define relative window
	-		Page up
	.		Page down
	\		Scroll up
	[		Scroll down
	V line		Start of screen
fkeys/data
	2 k		Display function key
	6 k		Program function key-screen
	4 len,k,t,msg	Program function key-general
	Sp,e k		Execute function key
	$		Reset all function keys
	Sp,= oper,k	Stored data display/storage
	Sp,I del,msg,del	Program latent expression
	Sp,E		Execute latent expression
	Sp,H del,msg,del	Program answerback message
	Sp,:		Transmit answerback message
	Sp,C		Store communications configuration
	Sp,S		Store configuration
	Sp,a		Display stored configuration
	Sp,~		Factory configuration reset
	Sp,/ pgs	Allocate memory
keyboard
	Sp,K		Keyboard lock
	Sp,k		Keyboard unlock
	Sp,B		Keyboard bell enable
	Sp,b		Keyboard bell disable
	Sp,) dev	Keyboard communication line
	X		Set cursor pad to transmit
	x		Set cursor pad to execute
	Sp,X		Set cursor pad to transmit & execute
	Sp,\		Disable cursor pad
	Sp,x ckey,clev,cm	Set cursor pad keys--general
topics
	general		cursor		transmission
	APL/ASCII	editing		screen
	status		display		fkeys/data
	mode		devices		keyboard
baud	The baud rate
	50 = Sp		75 = !		110 = "
	134.5 = #	150 = $		300 = %
	600 = &		1200 = '	1800 = (
	2000 = )	2400 = *	3600 = +
	4800 = ,	7200 = -	9600 = .
char	The actual character to be used
ckey	Individual cursor pad key
	Mult-Code = Sp		Reset/Stat = !		Print = "
	Page = #		Cursor up = $		Tape = %
	Cursor left= &		Home = '		Cursor right = (
	Scrol = )		Cursor down= *		Tab Clr/Set = +
	Break = ,		B Tab = -
clev	The key level
	All levels = Sp		Unshifted = !
	Shifted = "		Control-unshifted = #
	Control-shifted = $
cls	The number of columns to use
	1 = !		96 = ^A,Sp
	2 = "		97 = ^A,!
	3 = #		98 = ^A,"
	.		.
	.		132 = ^A,D
	95 = rub
cm	The key mode
	Transmit = Sp			Execute = !
	Transmit & execute = "		Disable = #
col	The column number, beginning with 0
	0 = Sp		96 = ^A,Sp
	1 = !		97 = ^A,!
	.		.
	.		131 = ^A,C
	95 = rub
cset	The character set
	ASCII = Sp	Graphics = !	APL = #
del	A delimiter character
delay	The transmission delay
	No delay = Sp		100ms = !		200ms = "
	300ms = #		...			9500ms = rub
dev	One of the terminal devices
	Keyboard/Display = Sp	Line 1 = !
	Line 2 = "		Line 3 = #
EOF	The end of field character
	Default: ^W
intype	The insert type to be used
	In window = Sp		In line = !
k	Function key
	
	Key		Un/shifted		Key	Un/shifted
	Insert		0/Sp			F6	:/*
	Del Char	1/!			F7	;/+
	Line Ins/Del	2/"			F8	</,
	Clear EOL/EOP	3/#			F9	=/-
	Send		4/$			F10	>/.
	F1		5/%			F11	?//
	F2		6/&			F12	@/C
	F3		7/'			F13	A/D
	F4		8/(			F14	B/E
	F5		9/)
	
	If command is entered from keyboard, actual function key
	can be pressed.
len	Length
	0 = Sp		96 = ^A,Sp
	1 = !		97 = ^A,!
	.		.
	.		131 = ^A,C
	95 = rub
line	The line number, beginning at 0
	0 = Sp		96 = ^A,Sp
	1 = !		97 = ^A,!
	.		.
	.		.
	95 = rub	191 = ^A,rub
lns	The number of lines to use
	0 = Sp		96 = ^A,Sp	   192 = ^B,Sp
	1 = !		97 = ^A,!
	.		.
	.		.
	95 = rub	191 = ^A,rub
m	The attributes which are to be affected, 64 + following values:
	(32 + following values in character code table)

	Display/Nondisplay = 1		Blink on/off = 2
	Underlining = 4			Protection = 8
	Brightness = 16			Normal/Reverse video = 32
margin	The number of columns from right side of window to right margin
	No margin = Sp		96 column offset = ^A,Sp
	1 column offset = !	97 column offset = ^A,!
	.			.
	.			131 column offset = ^A,C
	95 column offset = rub
mess	The message character to be changed
	ESC = Sp	ACK = !		NAK = "
	SOM = #		EOF = $		EOL = %
	EOM = &		FKID = '	XON = (
	XOFF = )	Pad EOM = *	DLY = +
msg	A sequence of characters defining a message
network	The device(s) that are to receive output from the requesting device
	coded as 32 + following value (or char in char code table):

	Display = 16		Line 1 = 8
	Line 2 = 4		Line 3 = 2
oper	The operation to be performed
	Setup and Display Function Key = Sp
	Display Function Key = !
	Program Function Key = "
	Setup and Display Answerback Message = #
	Display Answerback Message = $
	Define Answerback Message = %
	Setup and Display Latent Expression = &
	Display Latent Expression = '
	Define Latent Expression = (
parity	The parity to use
	none = Sp	even = !	odd = "
	mark = #	space = $
pgs	The number of pages of display memory
	1 page = !	2 pages = "	3 pages = #
	4 pages = $	5 pages = %	6 pages = &
	7 pages = '	8 pages = (
sbits	The number of stop bits
	1 stop bit = !		2 stop bits = "
sline	Selects a status line for display/transmission
	User = Sp		Programmer = !
	Tab Settings = "	Message Characters = #
	Alert Line = $
t	The function key transmission mode
	Restore default sequence and set transmit mode = Sp
	Restore default sequence and set execute mode = !
	Set transmit mode only = "
	Set execute mode only = #
test	The self tests to be performed, 64 + following value
	(or 32 + following value in char code table):

	ROM test = 1		NVM test = 2
	RAM test = 4		communications character test = 8
	communications controls test = 16
	loop until failure = 32
tie	The window to use
	Keyboard's = Sp		Window 1 = !
	Window 2 = "		Window 3 = #
w	The desired attribute setting, 64 + following values
	(or 32 + following value in char code table):

	Nondisplay = 1		Blink on = 2
	Underline on = 4	Unprotected = 8
	Half bright on = 16	Reverse video = 32
